date,underlying,expiry,strategy_type,legs,strategy_id
2024-08-08,NIFTY,2024-08-08 00:00:00,Strangle,24500.0-CE--25;23900.0-PE--25,20240808_NIFTY_2024-08-08 00:00:00_Strangle_24500.0_CE_-1|23900.0_PE_-1
2024-08-13,NIFTY,2024-08-14 00:00:00,Strangle,24500.0-CE--25;24100.0-PE--25,20240813_NIFTY_2024-08-14 00:00:00_Strangle_24500.0_CE_-1|24100.0_PE_-1
2024-08-14,NIFTY,2024-08-14 00:00:00,Strangle,24500.0-CE--25;24100.0-PE--25,20240814_NIFTY_2024-08-14 00:00:00_Strangle_24500.0_CE_-1|24100.0_PE_-1
2024-08-19,NIFTY,2024-08-22 00:00:00,Strangle,24800.0-CE--25;24400.0-PE--25,20240819_NIFTY_2024-08-22 00:00:00_Strangle_24800.0_CE_-1|24400.0_PE_-1
2024-08-20,NIFTY,2024-08-22 00:00:00,Strangle,24800.0-CE--25;24400.0-PE--25,20240820_NIFTY_2024-08-22 00:00:00_Strangle_24800.0_CE_-1|24400.0_PE_-1
2024-08-21,NIFTY,2024-08-22 00:00:00,Strangle,24800.0-CE--25;24400.0-PE--25,20240821_NIFTY_2024-08-22 00:00:00_Strangle_24800.0_CE_-1|24400.0_PE_-1
2024-08-23,NIFTY,2024-08-29 00:00:00,Strangle,25050.0-CE--25;24650.0-PE--25,20240823_NIFTY_2024-08-29 00:00:00_Strangle_25050.0_CE_-1|24650.0_PE_-1
2024-08-26,NIFTY,2024-08-29 00:00:00,Strangle,25050.0-CE--25;24650.0-PE--25,20240826_NIFTY_2024-08-29 00:00:00_Strangle_25050.0_CE_-1|24650.0_PE_-1
2024-08-26,NIFTY,2024-08-29 00:00:00,Naked Call Sell,25150.0-CE--25,20240826_NIFTY_2024-08-29 00:00:00_Naked Call Sell_25150.0_CE_-1
2024-08-27,NIFTY,2024-08-29 00:00:00,Strangle,25150.0-CE--25;24650.0-PE--25,20240827_NIFTY_2024-08-29 00:00:00_Strangle_25150.0_CE_-1|24650.0_PE_-1
2024-08-28,NIFTY,2024-08-29 00:00:00,Strangle,25150.0-CE--25;24650.0-PE--25,20240828_NIFTY_2024-08-29 00:00:00_Strangle_25150.0_CE_-1|24650.0_PE_-1
2024-08-29,NIFTY,2024-08-29 00:00:00,Strangle,25150.0-CE--25;24650.0-PE--25,20240829_NIFTY_2024-08-29 00:00:00_Strangle_25150.0_CE_-1|24650.0_PE_-1
2024-09-02,NIFTY,2024-09-05 00:00:00,Strangle,25500.0-CE--25;25000.0-PE--25,20240902_NIFTY_2024-09-05 00:00:00_Strangle_25500.0_CE_-1|25000.0_PE_-1
2024-09-03,NIFTY,2024-09-05 00:00:00,Strangle,25500.0-CE--25;25000.0-PE--25,20240903_NIFTY_2024-09-05 00:00:00_Strangle_25500.0_CE_-1|25000.0_PE_-1
2024-09-04,NIFTY,2024-09-05 00:00:00,Strangle,25500.0-CE--25;25000.0-PE--25,20240904_NIFTY_2024-09-05 00:00:00_Strangle_25500.0_CE_-1|25000.0_PE_-1
2024-09-05,NIFTY,2024-09-05 00:00:00,Strangle,25500.0-CE--25;25000.0-PE--25,20240905_NIFTY_2024-09-05 00:00:00_Strangle_25500.0_CE_-1|25000.0_PE_-1
2024-09-06,NIFTY,2024-09-12 00:00:00,Strangle,25200.0-CE--25;24600.0-PE--25,20240906_NIFTY_2024-09-12 00:00:00_Strangle_25200.0_CE_-1|24600.0_PE_-1
2024-09-09,NIFTY,2024-09-12 00:00:00,Strangle,25200.0-CE--25;24600.0-PE--25,20240909_NIFTY_2024-09-12 00:00:00_Strangle_25200.0_CE_-1|24600.0_PE_-1
2024-09-10,NIFTY,2024-09-12 00:00:00,Strangle,25200.0-CE--25;24600.0-PE--25,20240910_NIFTY_2024-09-12 00:00:00_Strangle_25200.0_CE_-1|24600.0_PE_-1
2024-09-11,NIFTY,2024-09-12 00:00:00,Strangle,25200.0-CE--25;24600.0-PE--25,20240911_NIFTY_2024-09-12 00:00:00_Strangle_25200.0_CE_-1|24600.0_PE_-1
2024-09-12,NIFTY,2024-09-12 00:00:00,Bull Put Spread,24600.0-PE--25;25400.0-PE-25,20240912_NIFTY_2024-09-12 00:00:00_Bull Put Spread_24600.0_PE_-1|25400.0_PE_1
2024-09-12,NIFTY,2024-09-12 00:00:00,Naked Call Sell,25200.0-CE--25,20240912_NIFTY_2024-09-12 00:00:00_Naked Call Sell_25200.0_CE_-1
2024-09-12,NIFTY,2024-09-12 00:00:00,Naked Put Buy,25400.0-PE-25,20240912_NIFTY_2024-09-12 00:00:00_Naked Put Buy_25400.0_PE_1
2024-09-12,NIFTY,2024-09-12 00:00:00,Naked Put Buy,25400.0-PE-25,20240912_NIFTY_2024-09-12 00:00:00_Naked Put Buy_25400.0_PE_1
2024-09-12,NIFTY,2024-09-12 00:00:00,Naked Put Buy,25400.0-PE-25,20240912_NIFTY_2024-09-12 00:00:00_Naked Put Buy_25400.0_PE_1
2024-09-12,NIFTY,2024-09-12 00:00:00,Naked Put Buy,25400.0-PE-25,20240912_NIFTY_2024-09-12 00:00:00_Naked Put Buy_25400.0_PE_1
2024-09-12,NIFTY,2024-09-12 00:00:00,Naked Put Buy,25400.0-PE-25,20240912_NIFTY_2024-09-12 00:00:00_Naked Put Buy_25400.0_PE_1
2024-09-12,NIFTY,2024-09-12 00:00:00,Naked Put Buy,25400.0-PE-25,20240912_NIFTY_2024-09-12 00:00:00_Naked Put Buy_25400.0_PE_1
2024-09-12,NIFTY,2024-09-12 00:00:00,Naked Put Buy,25400.0-PE-25,20240912_NIFTY_2024-09-12 00:00:00_Naked Put Buy_25400.0_PE_1
2024-09-12,NIFTY,2024-09-12 00:00:00,Naked Put Buy,25400.0-PE-25,20240912_NIFTY_2024-09-12 00:00:00_Naked Put Buy_25400.0_PE_1
2024-09-12,NIFTY,2024-09-12 00:00:00,Naked Put Buy,25400.0-PE-25,20240912_NIFTY_2024-09-12 00:00:00_Naked Put Buy_25400.0_PE_1
2024-09-16,NIFTY,2024-09-19 00:00:00,Strangle,25600.0-CE--25;25100.0-PE--25,20240916_NIFTY_2024-09-19 00:00:00_Strangle_25600.0_CE_-1|25100.0_PE_-1
