symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time,expiry_date
NIFTY24N0724500CE,,07-11-2024,NSE,FO,,buy,FALSE,25,0.2,164415715,1200000287699896,2024-11-07T14:59:36,07-11-2024
NIFTY24N1424500CE,,07-11-2024,NSE,FO,,sell,FALSE,25,67.9,164438732,1200000287907992,2024-11-07T15:00:04,14-11-2024
NIFTY24N1424200CE,,12-11-2024,NSE,FO,,sell,FALSE,25,27.9,33156004,1000000474522662,2024-11-12T15:05:08,14-11-2024
NIFTY24N1424500CE,,12-11-2024,NSE,FO,,buy,FALSE,25,6.05,28076151,1200000463389842,2024-11-12T15:05:08,14-11-2024
NIFTY24N1424200CE,,13-11-2024,NSE,FO,,buy,FALSE,25,14,2861119,1000000061274103,2024-11-13T10:00:22,14-11-2024
NIFTY24N1423450PE,,13-11-2024,NSE,FO,,sell,FALSE,25,18.65,1417493,1100000050445557,2024-11-13T10:00:23,14-11-2024
NIFTY24N1424050CE,,13-11-2024,NSE,FO,,sell,FALSE,25,29.6,1426817,1100000050444943,2024-11-13T10:01:02,14-11-2024
NIFTY24N1423450PE,,14-11-2024,NSE,FO,,buy,FALSE,25,4.9,8681764,1100000201816538,2024-11-14T12:40:29,14-11-2024
NIFTY24N1424050CE,,14-11-2024,NSE,FO,,buy,FALSE,25,0.6,8700162,1100000201816974,2024-11-14T12:41:17,14-11-2024
NIFTY24N2123650CE,,18-11-2024,NSE,FO,,sell,FALSE,25,44.1,6248225,1100000252637145,2024-11-18T15:02:23,21-11-2024
NIFTY24N2123500PE,,19-11-2024,NSE,FO,,buy,FALSE,25,39.2,5954355,1200000074014332,2024-11-19T09:57:32,21-11-2024
NIFTY24N2123500PE,,19-11-2024,NSE,FO,,sell,FALSE,25,127.7,22905256,1200000328124249,2024-11-19T15:13:53,21-11-2024
NIFTY24N2123150PE,,19-11-2024,NSE,FO,,sell,FALSE,25,26.05,15978138,1300000276016939,2024-11-19T15:28:44,21-11-2024
NIFTY24N2123150PE,,21-11-2024,NSE,FO,,buy,FALSE,25,25.7,9838,1300000000078955,2024-11-21T09:15:03,21-11-2024
NIFTY24N2123650CE,,21-11-2024,NSE,FO,,buy,FALSE,25,2.2,6190527,1100000115912738,2024-11-21T11:04:52,21-11-2024
NIFTY24NOV22700PE,,21-11-2024,NSE,FO,,sell,FALSE,25,35.3,23830611,1200000290971820,2024-11-21T14:47:06,28-11-2024
NIFTY24NOV23800CE,,21-11-2024,NSE,FO,,sell,FALSE,25,34.55,18435167,1000000281914437,2024-11-21T14:47:07,28-11-2024
NIFTY24NOV23800CE,,22-11-2024,NSE,FO,,buy,FALSE,25,292,9092099,1000000363952227,2024-11-22T14:54:39,28-11-2024
NIFTY24NOV22700PE,,25-11-2024,NSE,FO,,buy,FALSE,25,3.85,2955708,1200000055493160,2024-11-25T09:55:41,28-11-2024
NIFTY24NOV23900PE,,25-11-2024,NSE,FO,,sell,FALSE,25,69.5,9204210,1200000244746156,2024-11-25T13:46:19,28-11-2024
NIFTY24NOV24400CE,,25-11-2024,NSE,FO,,sell,FALSE,25,61.5,8769132,1000000244162944,2024-11-25T13:46:21,28-11-2024
NIFTY24NOV24400CE,,27-11-2024,NSE,FO,,buy,FALSE,25,19.4,3990213,1000000085971250,2024-11-27T11:36:41,28-11-2024
